month,average_price
January 2015,1.412775923427842
February 2015,0.9533057338178015
March 2015,0.7602822930059717
April 2015,0.35756194834055716
May 2015,0.14698371253115927
June 2015,0.0646952578718988
July 2015,0.03870618340168994
August 2015,0.025909202412256443
September 2015,0.020739229252383893
October 2015,0.02038074856041378
November 2015,0.023035955556006106
December 2015,0.00957163442982632
January 2016,0.003085973185157943
February 2016,0.001438565956968819
March 2016,0.001069477080513713
April 2016,0.0007021519604361618
May 2016,0.0004898088427177364
June 2016,0.0002239241274575454
July 2016,0.00011275326111590773
August 2016,5.1476393107997034e-05
September 2016,3.642824599661271e-05
October 2016,1.94609929875407e-05
November 2016,9.611485934344878e-06
December 2016,7.847930086409082e-06
January 2017,5.431431922874346e-06
February 2017,6.402014700753195e-06
March 2017,3.917449232254384e-06
April 2017,2.0895630955659416e-06
May 2017,1.1304383404029121e-06
June 2017,9.450317971952788e-07
July 2017,6.378427902354155e-07
August 2017,3.280924678355515e-07
September 2017,1.6542610886623212
October 2017,1.4750694106392714
November 2017,0.8886398050662838
December 2017,0.5549335152809021
January 2018,0.3445958064046208
February 2018,0.2294576340555822
March 2018,0.20439669830584306
April 2018,0.1575867534276314
May 2018,0.08477626490865134
June 2018,0.0386088596037125
July 2018,0.02032694021019494
August 2018,0.018049599689641795
September 2018,0.01216060513470962
October 2018,0.006663890125593187
November 2018,0.002970700298458854
December 2018,0.001035174586797157
January 2019,0.0011670990398530263
February 2019,1.7644478155278427
March 2019,3.682714722756383
April 2019,2.9492397648547577
May 2019,2.4040292774669085
June 2019,1.7853189630285045
July 2019,0.7655395026372035
August 2019,0.31435075361405546
September 2019,0.2689470159525064
October 2019,0.22028625687598374
November 2019,0.16525183748749034
December 2019,0.11410204240483406
