month,average_price
January 2015,9.440220767385822
February 2015,9.18803543453278
March 2015,9.658474350321761
April 2015,10.2845287447978
May 2015,11.10378095979327
June 2015,11.970516409345453
July 2015,11.910877401153533
August 2015,13.098587703459549
September 2015,13.150878134413977
October 2015,12.995593067217646
November 2015,13.34192728270466
December 2015,13.5795097001314
January 2016,13.820463043886965
February 2016,14.756676888634935
March 2016,16.601808085659822
April 2016,18.304747786419558
May 2016,20.495456786146804
June 2016,21.674529672673774
July 2016,22.376277999227987
August 2016,23.723325663464674
September 2016,24.36014686721247
October 2016,25.594982673019427
November 2016,29.416582154646413
December 2016,32.384751457188855
January 2017,34.23222130604088
February 2017,37.28740775518146
March 2017,38.00284957713239
April 2017,37.92561646124268
May 2017,41.703265853040804
June 2017,42.97567830648403
July 2017,44.743473368631335
August 2017,47.952534820610275
September 2017,45.65262144408587
October 2017,43.57666055932154
November 2017,48.21999110602944
December 2017,53.72338041624879
January 2018,53.006095799920764
February 2018,56.26964175427709
March 2018,58.718693350889176
April 2018,65.24143425886778
May 2018,73.85488269371581
June 2018,83.03222593885006
July 2018,91.14313784559916
August 2018,102.77662340205683
September 2018,110.53344259227421
October 2018,107.66209704291133
November 2018,109.17507859775928
December 2018,107.98704782153898
January 2019,110.05766387040644
February 2019,127.84199856232833
March 2019,136.36793760572056
April 2019,137.43159121680668
May 2019,140.251735492452
June 2019,157.2278528409123
July 2019,170.3049046289856
August 2019,163.4329049306615
September 2019,184.09428578466782
October 2019,198.28562880445358
November 2019,210.82858209061263
December 2019,200.8318890477368
